county,district,"Less than 10,000","10,000 to 14,999","15,000 to 19,999","20,000 to 24,999","25,000 to 29,999","30,000 to 34,999","35,000 to 39,999","40,000 to 44,999","45,000 to 49,999"
Wilson,District 10,43,14,30,44,77,16,47,39,132
Wilson,District 11,128,121,63,43,57,66,152,92,37
Wilson,District 12,74,93,27,62,40,88,16,132,122
Wilson,District 13,23,3,42,47,95,54,51,62,53
Wilson,District 14,105,37,0,116,28,82,0,39,33
Wilson,District 15,11,17,72,126,49,189,92,157,75
Wilson,District 16,50,84,25,57,35,0,38,151,99
Wilson,District 17,47,150,52,67,75,102,192,88,51
Wilson,District 18,16,17,24,62,94,117,83,46,18
Wilson,District 19,168,79,22,40,125,55,217,194,40
Wilson,District 2,61,0,10,0,8,13,43,44,5
Wilson,District 20,114,119,134,186,62,58,79,79,19
Wilson,District 21,55,37,90,144,171,141,117,86,97
Wilson,District 22,135,81,111,49,41,54,35,55,84
Wilson,District 23,20,15,18,18,139,35,63,137,0
Wilson,District 24,54,153,185,167,80,195,180,71,86
Wilson,District 25,24,0,27,9,19,105,83,171,26
Wilson,District 3,149,0,34,45,145,86,46,35,100
Wilson,District 4,96,48,0,115,237,21,113,168,38
Wilson,District 5,68,65,16,67,32,70,213,67,55
Wilson,District 6,30,31,36,25,88,33,40,86,72
Wilson,District 7,105,116,88,23,48,77,111,85,106
Wilson,District 8,36,41,0,27,0,27,47,69,26
Wilson,District 9,149,54,63,77,60,76,45,70,51
